ipa	etymological_group
s ʌ ŋ k o ŋ	sino
s ʌ ŋ k wa	sino
s ʌ ŋ k jo	sino
s ʌ ŋ k ɯ m	sino
s ʌ ŋ k ɯ p	sino
s ʌ ŋ k i	sino
s ʌ ŋ n ja ŋ	native
s ʌ ŋ n ɯ ŋ	sino
s ʌ ŋ t ɑ ŋ	sino
s ʌ ŋ l i p	sino
s ʌ ŋ m jʌ ŋ	sino
s ʌ ŋ m i	sino
s ʌ ŋ p jʌ k	sino
s ʌ ŋ p u n	sino
s ʌ ŋ s ɑ	sino
s ʌ ŋ s ʌ	sino
s ʌ ŋ s u k	sino
s ʌ ŋ s i l	sino
s ʌ ŋ jʌ k	sino
s ʌ ŋ jo k	sino
s ʌ ŋ wʌ n	sino
s ʌ ŋ ɰi	sino
s ʌ ŋ i n	sino
s ʌ ŋ tɕ ɑ	sino
s ʌ ŋ tɕ ɑ ŋ	sino
s ʌ ŋ tɕ ʌ k	sino
s ʌ ŋ tɕ o ŋ	sino
s ʌ ŋ tɕ i	sino
s ʌ ŋ tɕ i n	sino
s ʌ ŋ tɕ i l	sino
s ʌ ŋ tɕʰ ɑ l	sino
s ʌ ŋ tɕʰ wi	sino
s ʌ ŋ tʰ ɛ	sino
s ʌ ŋ pʰ ɛ	sino
s ʌ ŋ pʰ u m	sino
s ʌ ŋ h ɑ	sino
s ʌ ŋ h ɛ ŋ	sino
s ʌ ŋ h ja ŋ	sino
s ʌ ŋ h jʌ ŋ	sino
s ʌ ŋ h o	sino
s ʌ ŋ h wa	sino
s ɛ	sino
s ɛ k ɑ n	sino
s ɛ k jɛ	sino
s ɛ k ju n	sino
s ɛ k ɯ m	sino
s ɛ k i	sino
s ɛ t ɛ	sino
s ɛ l jʌ k	sino
s ɛ l jʌ n	sino
s ɛ l jɛ	sino
s ɛ l o	native
s ɛ m u	sino
s ɛ m i n ɑ	loan
s ɛ p u	sino
s ɛ p u n	sino
s ɛ s ɑ ŋ	sino
s ɛ s o k	sino
s ɛ s u	sino
s ɛ s ɯ p	sino
s ɛ s i m	sino
s ɛ ɛ k	sino
s ɛ wʌ l	sino
s ɛ ju l	sino
s ɛ i l	loan
s ɛ tɕ ɛ	sino
s ɛ tɕ o	sino
s ɛ tɕ o ŋ	sino
s ɛ tɕ i n	sino
s ɛ tɕʰ ɑ	sino
s ɛ tʰ ɑ k	sino
s ɛ tʰ ɛ	sino
s ɛ tʰ ɯ	loan
s ɛ pʰ o	sino
s ɛ k s ɯ	loan
s ɛ k tʰ ʌ	loan
s ɛ n tʰ ʌ	loan
s ɛ m	loan
s ɛ s p ɑ ŋ	sino
s jʌ tɕʰ ɯ	loan
s o k ɑ m	sino
s o k ɛ	sino
s o k jʌ n	sino
s o k ɯ k	sino
s o k ɯ m	native
s o n jʌ	sino
s o n jʌ n	sino
s o t o ŋ	sino
s o t ɯ k	sino
s o l ɑ	native
s o l ɑ n	sino
s o l ja ŋ	sino
s o l jʌ n	sino
s o l jʌ ŋ	sino
s o l ɯ m	native
s o l i	native
s o m ɑ ŋ	sino
s o m ɛ	native
s o m jʌ l	sino
s o m o	sino
s o m u n	sino
s o p ɑ k	sino
s o p jʌ n	sino
s o p i	sino
s o s ɑ n	sino
s o s ɛ ŋ	sino
s o s ʌ l	sino
s o s o k	sino
s o s o ŋ	sino
s o s u	sino
s o s ɯ	loan
s o s i k	sino
s o s i n	sino
s o s i l	sino
s o ɑ	sino
s o ɛ k	sino
s o wɛ	sino
s o jo	sino
s o jo ŋ	sino
s o wʌ n	sino
s o ju	sino
s o ɯ m	sino
s o tɕ ɑ k	sino
s o tɕ ɑ ŋ	sino
s o tɕ ɛ	sino
s o tɕ u ŋ	sino
s o tɕ i	sino
s o tɕ i p	sino
s o tʰ o ŋ	sino
s o pʰ ɑ	loan
s o pʰ o k	sino
s o pʰ u m	sino
s o pʰ ɯ tʰ ɯ wɛ ʌ	loan
s o h jʌ ŋ	sino
s o h o l	sino
s o h wa	sino
s o h wa n	sino
s o h ɰi	sino
s o k	native
s o k t ɑ m	sino
s o k t o	sino
s o k l jʌ k	sino
s o k m u l	sino
s o k p ɑ k	sino
s o k p o	sino
s o k s ʌ ŋ	sino
s o k s ɛ	sino
s o k i	sino
s o k tɕʰ u l	sino
s o n n jʌ	sino
s o n s ɑ ŋ	sino
s o n s ɛ k	sino
s o n s i l	sino
s o n tɕ ɑ	sino
s o n h ɛ	sino
s o m	native
s o m s* i	native
s o ŋ	sino
s o ŋ k o s	native
s o ŋ k ɯ m	sino
s o ŋ t o	sino
s o ŋ t u l i	native
s o ŋ ɑ tɕ i	native
s o ŋ i	native
s o ŋ pʰ ɑ	sino
s o ŋ pʰ jʌ n	mix
s o ŋ h wa n	sino
s o tʰ	native
s wɛ k u k	sino
s wɛ s i n	sino
s wɛ	native
s wɛ ja k	sino
s wɛ tʰ wɛ	sino
s jo kʰ ɯ	loan
s jo pʰ i ŋ	loan
s u k ɑ	sino
s u k ɑ m	sino
s u k ɑ p	sino
s u k ɑ ŋ	sino
s u k ʌ	sino
s u k ʌ n	sino
s u k o	native
s u k jo	sino
s u k ɯ p	sino
s u k ɯ ŋ	sino
s u k i	sino
s u n ɑ n	sino
s u n jʌ	sino
s u n jʌ n	sino
s u n ɯ ŋ	sino
s u t ɑ	native
s u t ɑ n	sino
s u t ɑ ŋ	sino
s u t o	sino
s u t o ŋ	sino
s u l ɑ k	sino
s u l ja ŋ	sino
s u l jʌ n	sino
s u l jʌ m	sino
s u l jʌ p	sino
s u l jʌ ŋ	sino
s u l o	sino
s u l o k	sino
s u l i	sino
s u l i p	sino
s u m ɛ	sino
s u m jʌ n	sino
s u m jʌ ŋ	sino
s u m o	sino
s u p ɑ k	native
s u p ɑ n	sino
s u p ɑ l	native
s u p ɛ	sino
s u p ɛ k	sino
s u p ʌ p	sino
s u p o ŋ	sino
s u p u n	sino
s u p i	sino
s u s ɑ	sino
s u s ɑ n	sino
s u s ɑ ŋ	sino
s u s ɛ k	sino
s u s ʌ	sino
s u s ʌ k	sino
s u s o	sino
s u s o ŋ	sino
s u s u k* ɛ k* i	native
s u s ɯ p	sino
s u s i n	sino
s u ja ŋ	sino
s u jʌ	sino
s u jʌ k	sino
s u jʌ ŋ	sino
s u jo	sino
s u jo ŋ	sino
s u wʌ n	sino
s u wʌ l	sino
s u wi	sino
s u i k	sino
s u i p	sino
s u tɕ ɑ k	sino
s u tɕ ʌ	native
s u tɕ ʌ ŋ	sino
s u tɕ u	sino
s u tɕ u n	sino
s u tɕ i	sino
s u tɕ i k	sino
s u tɕ i l	sino
s u tɕ i p	sino
s u tɕʰ ʌ n	sino
s u tɕʰ ʌ p	sino
s u tɕʰ u k	sino
s u tɕʰ u l	sino
s u tɕʰ i	sino
s u kʰ ʌ s	native
s u tʰ ɑ l	sino
s u pʰ jʌ ŋ	sino
s u pʰ jo	sino
s u pʰ i l	sino
s u h ɑ k	sino
s u h ɛ	sino
s u h ɛ ŋ	sino
s u h ʌ m	sino
s u h jʌ l	sino
s u h jɛ	sino
s u h o	sino
s u h wa k	sino
s u h ɰi	sino
s u k p ɑ k	sino
s u k p u	sino
s u k s o	sino
s u k tɕ ɛ	sino
s u k tɕʰ ʌ ŋ	sino
s u n	sino
s u n k ɑ n	sino
s u n k jʌ l	sino
s u n k jʌ ŋ	sino
s u n k jo	sino
s u n l jɛ	sino
s u n l i	sino
s u n m i	sino
s u n s ɑ	sino
s u n s ʌ	sino
s u n s u	sino
s u n wi	sino
s u n ɯ ŋ	sino
s u n tɕ ɑ	sino
s u n tɕ o	sino
s u n tɕ o ŋ	sino
s u n tɕ i n	sino
s u n h wa	sino
s u n h wa n	sino
s u n h wɛ	sino
s u m	native
s u s tɕ ɑ	sino
s u ŋ k o	sino
s u ŋ n ju ŋ	native
s u ŋ p ɛ	sino
s u ŋ s ɑ ŋ	sino
s u tɕʰ	native
s wi	native
s ju pʰ ʌ	loan
s ju pʰ ʌ m ɑ kʰ ɛ s	loan
s ju s	loan
s ɯ n i m	native
s ɯ s ɯ l o	native
s ɯ wɛ tʰ ʌ	loan
s ɯ wi tɕʰ i	loan
s ɯ kʰ ɑ u tʰ ɯ	loan
s ɯ kʰ ɑ pʰ ɯ	loan
s ɯ kʰ ɛ n t ɯ l	loan
s ɯ kʰ ʌ tʰ ɯ	loan
s ɯ kʰ ɛ i tʰ ɯ	loan
s ɯ kʰ ɛ tɕ u l	loan
s ɯ kʰ ɛ tɕʰ i	loan
s ɯ kʰ ɯ l i n	loan
s ɯ kʰ i	loan
s ɯ tʰ ɑ	loan
s ɯ tʰ ɑ i l	loan
s ɯ tʰ ɛ pʰ ɯ	loan
s ɯ tʰ ɛ n t ɯ	loan
s ɯ tʰ o l i	loan
s ɯ tʰ ju t i o	loan
s ɯ tʰ ɯ l ɛ s ɯ	loan
s ɯ pʰ ɑ i	loan
s ɯ pʰ o tɕʰ ɯ	loan
s ɯ pʰ i t ɯ	loan
s ɯ pʰ i kʰ ʌ	loan
s ɯ l pʰ ɯ m	native
s ɯ p k jʌ k	sino
s ɯ p k wa n	sino
s ɯ p k i	sino
s ɯ p t o	sino
s ɯ p t ɯ k	sino
s ɯ p s ʌ ŋ	sino
s ɯ p s o k	sino
s ɯ ŋ	sino
s ɯ ŋ k ɛ k	sino
s ɯ ŋ k jʌ k	sino
s ɯ ŋ k jɛ	sino
s ɯ ŋ n ɑ k	sino
s ɯ ŋ l jʌ	sino
s ɯ ŋ l i	sino
s ɯ ŋ p u	sino
s ɯ ŋ s ʌ n	sino
s ɯ ŋ s o	sino
s ɯ ŋ i n	sino
s ɯ ŋ tɕ ɑ	sino
s ɯ ŋ tɕ u	sino
s ɯ ŋ tɕ i n	sino
s ɯ ŋ h ɑ k	sino
s ɯ ŋ h o	sino
s ɯ ŋ h wa	sino
s i k ɑ	sino
s i k ɑ k	sino
s i k ɑ n	sino
s i k jɛ	sino
s i k o l	native
s i k o ŋ	sino
s i k u	sino
s i k u k	sino
s i k ɯ p	sino
s i k i	sino
s i n ɑ l i o	loan
s i n ɛ	sino
s i n ju ŋ	native
s i t ɛ	sino
s i t ɛ k	sino
s i t o	sino
s i l jʌ k	sino
s i l jʌ n	sino
s i l u	native
s i l ɯ m	native
s i l i	sino
s i l i tɕ ɯ	loan
s i m ɛ n tʰ ɯ	loan
s i m i n	sino
s i p ɑ ŋ	sino
s i p ʌ m	sino
s i p i	sino
s i s ɑ	sino
s i s ɛ ŋ	sino
s i s ʌ n	sino
s i s ʌ l	sino
s i s ɛ	sino
s i s u l	sino
s i s ɯ tʰ ɛ m	loan
s i s i	sino
s i s i n	sino
s i ɑ n	sino
s i wʌ n	sino
s i wi	sino
s i i n	sino
s i i l	sino
s i tɕ ɑ k	sino
s i tɕ ɑ ŋ	sino
s i tɕ ʌ	sino
s i tɕ ʌ l	sino
s i tɕ ʌ m	sino
s i tɕ ʌ ŋ	sino
s i tɕ o	sino
s i tɕ o ŋ	sino
s i tɕ ɯ n	loan
s i tɕ i p	sino
s i tɕʰ ɑ	sino
s i tɕʰ ɛ k	sino
s i tɕʰ ʌ ŋ	sino
s i tɕʰ ɛ	sino
s i tɕʰ i m i	native
s i pʰ ɑ n	sino
s i h ɑ n	sino
s i h ɑ p	sino
s i h ɛ ŋ	sino
s i h ʌ m	sino
s i h jo	sino
s i k	sino
s i k k u	sino
s i k k i	sino
s i k t ɑ n	sino
s i k t ɑ ŋ	sino
s i k l ja ŋ	sino
s i k m u l	sino
s i k m i n	sino
s i k p jʌ l	sino
s i k s ɑ	sino
s i k s u	sino
s i k jo k	sino
s i k jo ŋ	sino
s i k i	sino
s i k tʰ ɑ k	sino
s i k pʰ u m	sino
s i n k jʌ ŋ	sino
s i n k o	sino
s i n k ju	sino
s i n k i	sino
s i n n jʌ n	sino
s i n n jʌ m	sino
s i n t ɛ l ɛ l l ɑ	loan
s i n t o	sino
s i n l ɑ	sino
s i n l ɑ ŋ	sino
s i n l jʌ ŋ	sino
s i n l wɛ	sino
s i n m jʌ ŋ	native
s i n m u n	sino
s i n p ɑ l	native
s i n p jʌ n	sino
s i n p o ŋ	sino
s i n p u	sino
s i n p u n	sino
s i n p i	sino
s i n p i ŋ	sino
s i n s ɑ	sino
s i n s ɑ ŋ	sino
s i n s ɛ ŋ	sino
s i n s ʌ n	sino
s i n s ʌ l	sino
s i n s ʌ ŋ	sino
s i n s ɛ	sino
s i n s i k	sino
s i n ɑ ŋ	sino
s i n ɛ	sino
s i n jo ŋ	sino
s i n wʌ n	sino
s i n wi	sino
s i n ɯ m	sino
s i n i n	sino
s i n i m	sino
s i n i p	sino
s i n tɕ ɑ	sino
s i n tɕ ɑ k	sino
s i n tɕ ɑ ŋ	sino
s i n tɕ ʌ n	sino
s i n tɕ o ŋ	sino
s i n tɕ u	sino
s i n tɕ u ŋ	sino
s i n tɕ i n	sino
s i n tɕʰ ʌ ŋ	sino
s i n tɕʰ ɛ	sino
s i n tɕʰ u k	sino
s i n tʰ ɑ k	sino
s i n tʰ o ŋ	sino
s i n h ɑ	sino
s i n h ɑ k	sino
s i n h o	sino
s i n h o n	sino
s i n h wa	sino
s i n h ɯ ŋ	sino
s i l k ɑ m	sino
s i l n ɛ	sino
s i l l ɑ ŋ i	native
s i l l jʌ k	sino
s i l l jɛ	sino
s i l l o	sino
s i l l i	sino
s i l l i kʰ o n	loan
s i l m ɑ ŋ	sino
s i l m jʌ ŋ	sino
s i l m u	sino
s i l m u l	sino
s i l s ɑ	sino
s i l s ɑ ŋ	sino
s i l s ɛ	sino
s i l s u	sino
s i l s ɯ p	sino
s i l s i	sino
s i l s i n	sino
s i l ʌ p	sino
s i l jo ŋ	sino
s i l tɕ ɑ ŋ	sino
s i l tɕ ɛ	sino
s i l tɕ ʌ k	sino
s i l tɕ ʌ m	sino
s i l tɕ ʌ ŋ	sino
s i l tɕ ɛ	sino
s i l tɕ o n	sino
s i l tɕ o ŋ	sino
s i l tɕ ɯ ŋ	sino
s i l tɕ i l	sino
s i l tɕʰ ʌ n	sino
s i l tɕʰ ɛ	sino
s i l kʰ ɯ	loan
s i l tʰ ɛ	sino
s i l pʰ ɛ	sino
s i l h ɑ k	sino
s i l h ɛ ŋ	sino
s i l h ʌ m	sino
s i l h jʌ n	sino
s i l h jo	sino
s i m	native
s i m k ɑ k	sino
s i m k jʌ ŋ	sino
s i m k i	sino
s i m l i	sino
s i m m i	sino
s i m p u l ɯ m	native
s i m s ɑ	sino
s i m s ɑ ŋ	sino
s i m s ʌ ŋ	sino
s i m s i n	sino
s i m s i m	sino
s i m ja	sino
s i m jʌ n	sino
s i m ɰi	sino
s i m tɕ ɑ ŋ	sino
s i m tɕ ʌ ŋ	sino
s i m tɕʰ ɯ ŋ	sino
s i m pʰ ɑ n	sino
s i m pʰ o tɕ i ʌ m	loan
s i p s ɑ ŋ	sino
s* ɑ k u l jʌ	native
s* ɑ u m	native
s* ɑ l	native
s* ɑ ŋ	sino
s* ɑ ŋ p ɑ ŋ	sino
s* o k	native
s* u k	native
s* ɯ	native
s* ɯ l ɛ k i	native
s* i l ɯ m	native
s* i ɑ s	native
s* i p	native
i ɯ ŋ	native
ɑ k ɑ	native
ɑ k ɑ s* i	native
ɑ k u ŋ i	native
ɑ k i	native
ɑ k* ɑ	native
ɑ n ɑ u n s ʌ	loan
ɑ n ɑ k	native
ɑ n ɛ	native
ɑ t o ŋ	sino
ɑ t ɯ l	native
ɑ l ɑ ŋ k o s	native
ɑ l ɯ p ɑ i tʰ ɯ	loan
ɑ l ɯ m	native
ɑ m ɑ	sino
ɑ m ɑ tɕʰ u ʌ	loan
ɑ m ɛ l i kʰ ɑ	loan
ɑ p ʌ tɕ i	native
ɑ p i	native
ɑ p* ɑ	native
ɑ s wi u m	native
ɑ s ɯ pʰ ɑ l tʰ ɯ	loan
ɑ u	native
ɑ u s ʌ ŋ	mix
ɑ i t i ʌ	loan
ɑ i l ʌ n i	loan
ɑ tɕ ʌ s* i	native
ɑ tɕ ʌ n	sino
ɑ tɕ u	sino
ɑ tɕ u m ʌ n i	native
ɑ tɕ u m m ɑ	native
ɑ tɕʰ i m	native
ɑ kʰ ɑ t ɛ m i	loan
ɑ kʰ ɑ s i ɑ	loan
ɑ tʰ ɛ n ɛ	loan
ɑ pʰ ɑ tʰ ɯ	loan
ɑ pʰ jʌ n	sino
ɑ pʰ ɯ m	native
ɑ k k i	sino
ɑ k m ɑ	sino
ɑ k m o ŋ	sino
ɑ k m u l	sino
ɑ k p o	sino
ɑ k s ɑ	sino
ɑ k s ʌ ŋ	sino
ɑ k s u	sino
ɑ k jo ŋ	sino
ɑ k ɰi	sino
ɑ k tɕʰ wi	sino
ɑ k h wa	sino
ɑ n k ɛ	native
ɑ n k ʌ n	sino
ɑ n k jʌ ŋ	sino
ɑ n k u	sino
ɑ n k i	sino
ɑ n n ɛ	sino
ɑ n n jʌ ŋ	sino
ɑ n t ɑ l	native
ɑ n t o	sino
ɑ n t o ŋ	sino
ɑ n l ɑ k	sino
ɑ n m jʌ n	sino
ɑ n m o k	sino
ɑ n p o	sino
ɑ n p u	sino
ɑ n s ɛ k	sino
ɑ n s u	sino
ɑ n s i k	sino
ɑ n s i m	sino
ɑ n ja ŋ	sino
ɑ n tɕ ʌ n	sino
ɑ n tɕ ʌ ŋ	sino
ɑ n tɕ u	sino
ɑ n tʰ ɑ	sino
ɑ n pʰ ɑ k*	native
ɑ l t* ɯ l	native
ɑ l l ɛ l ɯ k i	loan
ɑ l l u m i n ju m	loan
ɑ l m ɛ ŋ i	native
ɑ l s ʌ n	sino
ɑ l kʰ o o l	loan
ɑ m	loan
ɑ m k i	sino
ɑ m m ɑ n	native
ɑ m s ʌ k	sino
ɑ m s i	sino
ɑ m u l	sino
ɑ m kʰ ʌ s	native
ɑ m h o	sino
ɑ m h ɯ k	sino
ɑ p t o	sino
ɑ p l jʌ k	sino
ɑ p l ju	sino
ɑ p p ɑ k	sino
ɑ p s u	sino
ɑ p tɕʰ u k	sino
ɑ ŋ kʰ o l ɯ	loan
ɑ pʰ	native
ɛ	native
ɛ k jo	sino
ɛ k u k	sino
ɛ k i	native
ɛ n i m ɛ i s jʌ n	loan
ɛ l o	sino
ɛ m ɛ	sino
ɛ m u	sino
ɛ p i	native
ɛ jo ŋ	sino
ɛ wʌ n	sino
ɛ i n	sino
ɛ tɕ ʌ ŋ	sino
ɛ tɕʰ ɑ k	sino
ɛ tɕʰ o	mix
ɛ tʰ ɑ	sino
ɛ k m jʌ n	sino
ɛ k s ɛ s ʌ l i	loan
ɛ k s jʌ n	loan
ɛ k s u	sino
ɛ k tɕ ɑ	sino
ɛ k tɕʰ ɛ	sino
ɛ l p ʌ m	loan
ɛ ŋ kʰ ʌ	loan
ja k ɑ n	sino
ja k u	sino
ja t ɑ n	sino
ja t ɑ ŋ	sino
ja s ɑ n	sino
ja s ɛ ŋ	sino
ja s i m	sino
ja wɛ	sino
ja ju	sino
ja tɕʰ ɛ	sino
ja h wɛ	loan
ja k k ɑ n	sino
ja k k wa	sino
ja k k wa n	sino
ja k k u k	sino
ja k s ɑ	sino
ja k s ɛ	sino
ja k s o k	sino
ja k tɕ ɑ	sino
ja k tɕ ʌ m	sino
ja k tɕ ʌ ŋ	sino
ja k tɕʰ o	sino
ja k tʰ ɑ l	sino
ja k pʰ u m	sino
ja k h wa	sino
ja k h jo	sino
ja m tɕ ʌ n	native
ja ŋ k u k	sino
ja ŋ k ɯ k	sino
ja ŋ n jʌ m	native
ja ŋ t ɑ ŋ	sino
ja ŋ t ɛ	sino
ja ŋ t o	sino
ja ŋ m ɑ l	sino
ja ŋ m jʌ n	sino
ja ŋ p ɑ n	sino
ja ŋ p o	sino
ja ŋ p u n	sino
ja ŋ s ɑ n	sino
ja ŋ s ʌ ŋ	sino
ja ŋ s i k	sino
ja ŋ s i m	sino
ja ŋ ju k	sino
ja ŋ tɕ ɑ	sino
ja ŋ tɕ u	sino
ja ŋ tɕʰ ʌ l	sino
ja ŋ tɕʰ ɯ k	sino
ja ŋ tɕʰ i	native
ja ŋ pʰ jʌ n	sino
ja ŋ h ɛ	sino
jɛ	native
jɛ k i	native
ʌ	sino
ʌ k wi	native
ʌ k i	sino
ʌ k* ɛ	native
ʌ t u m	native
ʌ t i	native
ʌ l jʌ u m	native
ʌ l jʌ p	sino
ʌ l o	sino
ʌ l ju	sino
ʌ l ɯ n	native
ʌ l i	sino
ʌ l i m	native
ʌ m ʌ n i	native
ʌ m i	native
ʌ p u	sino
ʌ s ɑ	sino
ʌ s ɛ k	sino
ʌ s ʌ	sino
ʌ s ʌ n	sino
ʌ s i s ɯ tʰ ɯ	loan
ʌ ʌ p	sino
ʌ wʌ n	sino
ʌ ɯ m	native
ʌ i	native
ʌ tɕ o	sino
ʌ tɕʰ ʌ k u n i	native
ʌ tɕʰ o n	sino
ʌ tʰ u	sino
ʌ h wi	sino
ʌ k ɑ p	sino
ʌ k ja ŋ	sino
ʌ k u l	sino
ʌ k tɕ ɛ	sino
ʌ k tɕ i	native
ʌ n k ɯ p	sino
ʌ n n i	native
ʌ n t ʌ	loan
ʌ n t ʌ k	native
ʌ n l o n	sino
ʌ n ʌ	sino
ʌ n tɕ ʌ l i	native
ʌ n h ɛ ŋ	sino
ʌ l	native
ʌ l k u l	native
ʌ l l u k	native
ʌ l l ɯ n	native
ʌ l m ɑ	native
ʌ m k jʌ k	sino
ʌ m t u	native
ʌ m m ɑ	native
ʌ m s ɑ l	native
ʌ m s ɯ p	sino
ʌ m tɕ ʌ ŋ	sino
ʌ m tɕ u ŋ	sino
ʌ m tɕ i	native
ʌ p	sino
ʌ p k jɛ	sino
ʌ p m u	sino
ʌ p s o	sino
ʌ p tɕ ɑ	sino
ʌ p tɕ ʌ k	sino
ʌ p tɕ o ŋ	sino
ʌ p tɕʰ ɛ	sino
ʌ ŋ t ʌ ŋ i	native
ʌ ŋ m ɑ ŋ	native
ʌ ŋ tʰ ʌ l i	native
ɛ n ʌ tɕ i	loan
ɛ m i	native
ɛ s ɛ i	loan
ɛ ʌ kʰ ʌ n	loan
ɛ i	loan
ɛ i tɕ ɯ	loan
ɛ kʰ o	loan
ɛ pʰ i s o t ɯ	loan
ɛ k s ɯ pʰ o	loan
ɛ n	loan
ɛ n tɕ i n	loan
ɛ l l i p ɛ i tʰ ʌ	loan
ɛ l l i tʰ ɯ	loan
jʌ	sino
jʌ k ɑ	sino
jʌ k ʌ n	sino
jʌ k jʌ ŋ	sino
jʌ k o	sino
jʌ k o ŋ	sino
jʌ k wa	sino
jʌ k wa n	sino
jʌ k wʌ n	sino
jʌ n jʌ m	sino
jʌ t ɑ ŋ	sino
jʌ t ɛ	sino
jʌ l ʌ s	native
jʌ l o n	sino
jʌ l i	sino
jʌ p ɛ k	sino
jʌ p o	sino
jʌ p u	sino
jʌ p i	sino
jʌ s ɑ	sino
jʌ s ʌ ŋ	sino
jʌ s u	sino
jʌ s i n	sino
jʌ ja	sino
jʌ wa ŋ	sino
jʌ u	native
jʌ u n	sino
jʌ ju	sino
jʌ ɰi	sino
jʌ i n	sino
jʌ tɕ ɑ	sino
jʌ tɕ ʌ n	sino
jʌ tɕ ʌ ŋ	sino
jʌ tɕ i	sino
jʌ tʰ ɑ	sino
jʌ tʰ ɛ	sino
jʌ pʰ ɑ	sino
jʌ h ɑ	sino
jʌ h ɛ ŋ	sino
jʌ k	sino
jʌ k t ɛ	sino
jʌ k t o ŋ	sino
jʌ k l ja ŋ	sino
jʌ k l jʌ k	sino
jʌ k p u tɕ o k	sino
jʌ k s ɑ	sino
jʌ k s ʌ l	sino
jʌ k s i	sino
jʌ k i m	sino
jʌ k tɕ ʌ n	sino
jʌ k tɕ ʌ m	sino
jʌ k h ɑ k	sino
jʌ k h ɑ l	sino
jʌ k h ɛ ŋ	sino
jʌ n	sino
jʌ n k ɑ n	sino
jʌ n k jʌ l	sino
jʌ n k jɛ	sino
jʌ n k o	sino
jʌ n k wa n	sino
jʌ n k u	sino
jʌ n k ɯ k	sino
jʌ n k ɯ m	sino
jʌ n k i	sino
jʌ n n ɛ	sino
jʌ n t ɑ l	sino
jʌ n t ɛ	sino
jʌ n t o	sino
jʌ n l ɑ k	sino
jʌ n l jʌ ŋ	sino
jʌ n l jo	sino
jʌ n l u	sino
jʌ n l i p	sino
jʌ n m ɑ l	sino
jʌ n m ɛ ŋ	sino
jʌ n m jʌ ŋ	sino
jʌ n m i n	sino
jʌ n p ɑ l	sino
jʌ n p jʌ n	sino
jʌ n p o ŋ	sino
jʌ n s ɑ ŋ	sino
jʌ n s ʌ l	sino
jʌ n s o k	sino
jʌ n s wɛ	sino
jʌ n s u	sino
jʌ n s ɯ p	sino
jʌ n s ɯ ŋ	sino
jʌ n s i n	sino
jʌ n ɑ n	sino
jʌ n ɑ m	sino
jʌ n ɛ	sino
jʌ n ja k	sino
jʌ n ʌ	sino
jʌ n jɛ	sino
jʌ n u	sino
jʌ n ju	sino
jʌ n i l	sino
jʌ n tɕ ɑ k	sino
jʌ n tɕ ɛ	sino
jʌ n tɕ u	sino
jʌ n tɕ u ŋ	sino
jʌ n tɕʰ ɛ	sino
jʌ n tɕʰ o	sino
jʌ n tɕʰ u l	sino
jʌ n tʰ ɑ n	sino
jʌ n pʰ i l	sino
jʌ n h ɑ	sino
jʌ n h ɑ p	sino
jʌ n h ɛ ŋ	sino
jʌ n h o ŋ	sino
jʌ n h ju	sino
jʌ l k ɑ ŋ	sino
jʌ l k ʌ	sino
jʌ l t ɯ ŋ	sino
jʌ l l jʌ l	sino
jʌ l l i	sino
jʌ l m ɛ	native
jʌ l s ʌ ŋ	sino
jʌ l s i m	sino
jʌ l tɕ ʌ ŋ	sino
jʌ l tɕ u ŋ	sino
jʌ l tɕʰ ɑ	sino
jʌ l pʰ u ŋ	sino
jʌ l h ɑ n	sino
jʌ l h ɯ l	native
jʌ m k i	sino
jʌ m t u	sino
jʌ m l jʌ	sino
jʌ m s ɛ k	sino
jʌ m s o	native
jʌ m wʌ n	sino
jʌ m tɕ ɯ ŋ	sino
jʌ m tɕʰ i	sino
jʌ p s ʌ	sino
jʌ s	native
jʌ ŋ	sino
jʌ ŋ k ɑ m	sino
jʌ ŋ k wa ŋ	sino
jʌ ŋ k u	sino
jʌ ŋ k u k	sino
jʌ ŋ n o ŋ	sino
jʌ ŋ t ɑ l	sino
jʌ ŋ t o ŋ	sino
jʌ ŋ l i	sino
jʌ ŋ m i	sino
jʌ ŋ p ɛ	sino
jʌ ŋ s ɑ	sino
jʌ ŋ s ɑ ŋ	sino
jʌ ŋ s ʌ n	sino
jʌ ŋ s ʌ ŋ	sino
jʌ ŋ s ɛ	sino
jʌ ŋ ɛ	sino
jʌ ŋ ja ŋ	sino
jʌ ŋ ʌ	sino
jʌ ŋ ʌ p	sino
jʌ ŋ jʌ k	sino
jʌ ŋ jʌ ŋ	sino
jʌ ŋ jɛ	sino
jʌ ŋ u ŋ	sino
jʌ ŋ wʌ n	sino
jʌ ŋ wʌ l	sino
jʌ ŋ wi	sino
jʌ ŋ i p	sino
jʌ ŋ tɕ ɑ ŋ	sino
jʌ ŋ tɕ ɛ	sino
jʌ ŋ tɕ o	sino
jʌ ŋ tɕ u	sino
jʌ ŋ tʰ o	sino
jʌ ŋ h ɑ	sino
jʌ ŋ h ja ŋ	sino
jʌ ŋ h o	sino
jʌ ŋ h o n	sino
jʌ ŋ h wa	sino
jʌ pʰ	native
jɛ k ɑ m	sino
jɛ k jʌ n	sino
jɛ k o	sino
jɛ k ɯ m	sino
jɛ k i	sino
jɛ n jʌ n	sino
jɛ m u n	sino
jɛ p ɑ ŋ	sino
jɛ p ɛ	sino
jɛ p o	sino
jɛ p i	sino
jɛ s ɑ	sino
jɛ s ɑ n	sino
